id;id_ocorrencia;id_g;data_atribuicao;data_finalizacao
1;16924;26764;2024-10-16T22:13:46;2024-10-17T03:17:41
2;9503;31539;2024-10-17T08:09:00;2024-10-16T18:35:13
3;3905;27552;2024-10-16T19:01:00;2024-10-16T21:56:19
4;16538;15608;2024-10-16T20:40:13;2024-10-16T23:39:26
5;23012;28459;2024-10-16T20:57:51;2024-10-17T00:20:50
6;3745;7253;2024-10-16T18:48:32;2024-10-17T06:28:30
7;408;21607;2024-10-17T15:34:10;2024-10-17T04:54:49
8;31824;1435;2024-10-17T00:19:21;2024-10-17T10:49:50
9;20177;27921;2024-10-16T23:56:05;2024-10-17T09:01:46
10;20802;22015;2024-10-17T11:07:55;2024-10-17T01:42:35
