id;titulo;descricao
1;Gestão de Projetos;Sistema de controle de tarefas e prazos
2;Marketing Digital;Planejamento de campanhas online
3;Desenvolvimento Web;Criação de aplicações para internet
4;Análise de Dados;Gerenciamento de relatórios e insights
5;Suporte Técnico;Atendimento e resolução de problemas técnicos
6;Recursos Humanos;Gestão de funcionários e processos internos
7;Planejamento Estratégico;Definição de metas e estratégias empresariais
8;Pesquisa de Mercado;Análise de tendências e comportamento do consumidor
9;Finanças Corporativas;Gerenciamento de finanças e contabilidade
10;Operações Logísticas;Organização e otimização de processos logísticos
